year,month,date,Time,latitude,longitude,depth,magnitude,DATE
1980,2,21,16:05:50,10.5276,92.9652,78.7,4.6,1980-02-21
1980,5,26,11:37:30,11.0789,92.8553,43.2,4.8,1980-05-26
1980,8,20,6:21:54,11.0277,92.9682,54,5,1980-08-20
1980,9,29,0:18:31,13.0346,93.0987,32,4.5,1980-09-29
1980,10,31,8:01:10,12.275,92.8534,41,4.6,1980-10-31
1980,11,8,3:37:10,12.1565,93.5053,93,4.7,1980-11-08
1980,11,16,7:37:41,12.3772,92.9224,41,4.9,1980-11-16
1980,12,27,5:56:31,11.6955,93.0459,46,4.9,1980-12-27
1981,1,18,17:25:52,11.9533,93.2386,41,4.8,1981-01-18
1981,2,1,22:17:32,10.8358,92.4339,26,4.8,1981-02-01
1981,2,16,21:07:57,12.0122,92.7681,41,4.2,1981-02-16
1981,4,26,8:22:35,12.0713,92.5563,30.4,4.7,1981-04-26
1981,6,8,15:17:28,11.8884,92.9385,100,4.2,1981-06-08
1981,10,10,23:28:55,12.1519,93.4573,93,4.1,1981-10-10
1981,11,2,21:10:27,12.2296,92.8855,26,5.8,1981-11-02
1981,12,1,5:57:43,13.1591,93.2302,58,4.2,1981-12-01
1982,1,9,18:38:59,10.6394,92.7809,54,3.7,1982-01-09
1982,2,26,21:59:39,12.0011,92.7492,10,4.1,1982-02-26
1982,3,7,0:31:29,11.0174,92.2632,30.4,5,1982-03-07
1982,5,2,23:14:46,10.813,93.14,54,4.4,1982-05-02
1982,7,10,19:22:17,11.9335,93.3155,93,4.3,1982-07-10
1982,8,26,11:35:32,12.0676,93.5414,93,4.7,1982-08-26
1982,9,26,11:26:41,12.2184,92.8833,41,4.8,1982-09-26
1982,9,27,11:11:03,11.5967,92.6286,26,4.7,1982-09-27
1982,12,16,8:56:36,11.7395,92.9424,59.1,5.3,1982-12-16
1983,1,24,23:09:22,12.956,93.5609,72.5,6.2,1983-01-24
1983,1,29,20:54:34,13.2121,93.1776,35,3.7,1983-01-29
1983,2,17,8:55:52,12.7712,93.5475,58,5,1983-02-17
1983,2,20,2:26:50,12.9112,92.9013,19.3,5.3,1983-02-20
1983,7,9,6:07:58,12.2792,93.4493,91.1,4.8,1983-07-09
1983,8,31,7:32:18,12.9468,93.3237,58,4.1,1983-08-31
1984,2,7,1:15:31,11.0019,92.6377,26,4.7,1984-02-07
1984,3,22,5:36:38,13.0223,93.5605,84.2,5.1,1984-03-22
1984,4,8,21:52:45,13.41,92.3643,29,4.5,1984-04-08
1984,4,29,12:03:51,11.9232,93.2298,41,4.6,1984-04-29
1984,6,11,15:01:55,13.3469,93.0182,29,4.5,1984-06-11
1984,7,17,6:30:08,12.9703,92.9337,22.3,4.7,1984-07-17
1984,8,17,0:58:53,10.7876,93.1513,40,5.2,1984-08-17
1984,11,9,18:38:55,12.7097,93.4702,93,4.2,1984-11-09
1984,12,20,17:54:30,10.3483,93.5867,25,4.8,1984-12-20
1984,12,26,18:26:48,10.7883,93.4404,35,4.6,1984-12-26
1985,3,26,23:08:39,11.0386,92.8339,54,3.9,1985-03-26
1985,4,7,11:11:50,10.591,92.3724,14.3,5.1,1985-04-07
1985,11,29,12:02:47,10.5936,93.4886,92.7,5,1985-11-29
1986,5,22,5:14:04,12.4265,93.2505,93,4.9,1986-05-22
1986,9,20,10:05:01,12.9794,93.2844,70,5,1986-09-20
1987,4,24,9:19:19,11.2485,93.4835,123,4.2,1987-04-24
1987,5,24,2:08:23,11.5939,93.2196,94.8,4.9,1987-05-24
1987,7,13,22:21:25,11.2857,93.1276,54,4.4,1987-07-13
1987,7,21,3:20:16,10.9635,92.1497,27,4.1,1987-07-21
1987,9,19,19:56:30,11.4266,92.3112,26,4.1,1987-09-19
1988,1,30,14:30:40,13.0759,93.4773,65.2,5.2,1988-01-30
1988,2,28,3:19:37,11.1864,93.5464,121,5.2,1988-02-28
1988,3,2,4:45:07,10.4695,93.4306,100,4.2,1988-03-02
1988,5,6,9:23:37,12.2679,92.9032,23.9,5.3,1988-05-06
1988,5,6,9:30:35,12.1995,92.881,41,4.7,1988-05-06
1988,7,10,6:36:17,12.1851,92.8893,41,4.5,1988-07-10
1988,8,5,17:34:38,12.1088,93.047,32.8,5,1988-08-05
1988,9,5,19:11:38,10.5604,92.8383,53,4.6,1988-09-05
1988,11,3,18:34:44,12.3116,92.6873,26,4.8,1988-11-03
1989,1,1,13:12:39,12.6782,92.872,41,4.1,1989-01-01
1989,4,27,4:19:17,10.5542,93.3745,100,4.7,1989-04-27
1989,5,16,12:23:12,10.3706,93.3478,100,4.6,1989-05-16
1989,5,22,23:48:12,10.528,93.141,33,4.3,1989-05-22
1989,6,9,9:53:47,10.4611,92.8523,53,4.9,1989-06-09
1989,12,27,16:27:53,11.2088,93.0073,54,4,1989-12-27
1990,1,22,18:49:37,11.6461,92.4255,26,4.8,1990-01-22
1990,5,4,4:28:55,12.5123,92.3798,35,4.1,1990-05-04
1990,9,13,17:40:30,10.9843,92.5305,26,4.7,1990-09-13
1991,4,11,8:50:03,11.7203,92.5451,23,4.7,1991-04-11
1991,9,4,8:32:38,10.9646,93.049,54,4.7,1991-09-04
1992,2,4,21:51:40,11.2427,93.0124,46,4.8,1992-02-04
1992,5,30,18:10:59,10.3332,92.6054,29,4.5,1992-05-30
1992,6,7,9:05:51,12.2145,92.6133,23,4.4,1992-06-07
1992,6,25,15:46:15,11.9062,92.3899,23,4.6,1992-06-25
1992,7,6,9:28:57,11.7633,92.5129,39.1,5,1992-07-06
1992,7,6,12:23:53,11.8017,92.5627,34.7,5.1,1992-07-06
1992,10,15,20:11:36,10.8962,93.4103,35,4.5,1992-10-15
1993,2,1,21:39:45,10.7427,93.5477,123,4.2,1993-02-01
1993,3,14,14:50:19,11.8678,92.1878,26,4.7,1993-03-14
1993,4,9,16:24:16,13.1337,92.9248,32,4.6,1993-04-09
1993,9,30,17:04:49,11.8222,92.4681,30,5.4,1993-09-30
1993,10,21,13:53:26,11.8601,92.4372,29.3,4.3,1993-10-21
1994,4,10,6:58:18,11.8622,92.8522,41,4.3,1994-04-10
1994,7,9,17:47:36,12.8645,93.2144,35,4.4,1994-07-09
1994,11,15,1:56:21,11.8869,92.4873,23,4.4,1994-11-15
1994,12,22,22:50:18,11.0309,93.13,123,4.6,1994-12-22
1995,1,22,11:48:03,11.5823,92.3551,26,4.7,1995-01-22
1995,3,20,22:32:58,10.3379,93.2946,25,4.5,1995-03-20
1995,3,30,2:15:36,13.0608,93.0799,40.4,4.6,1995-03-30
1995,4,9,0:33:07,10.8653,92.7915,35,4.2,1995-04-09
1995,4,30,14:36:06,10.9988,93.402,123,4,1995-04-30
1995,5,3,2:06:17,11.8746,92.8762,41,4.5,1995-05-03
1995,5,13,11:57:16,10.4904,92.8369,53,4.8,1995-05-13
1995,8,16,6:15:07,10.6591,92.8615,53,4.5,1995-08-16
1995,8,30,5:07:06,12.1752,92.965,10,4.2,1995-08-30
1995,8,30,21:12:41,12.9894,92.3339,31,4.2,1995-08-30
1995,10,8,18:22:59,10.4469,92.8027,30.2,4.9,1995-10-08
1995,10,17,9:48:38,10.4258,92.3042,24.8,4.7,1995-10-17
1995,10,27,19:16:28,10.5467,92.1054,29,4.1,1995-10-27
1995,12,3,23:15:42,10.9592,93.4501,123,4.1,1995-12-03
1995,12,9,7:26:24,10.6118,92.8086,31.3,4.8,1995-12-09
1996,1,16,15:18:33,12.1786,92.8037,41,4.4,1996-01-16
1996,1,20,9:40:37,10.9052,92.5981,26,4.2,1996-01-20
1996,2,6,5:07:17,11.1483,92.2656,18.6,4.2,1996-02-06
1996,2,29,11:55:51,10.469,92.6966,31.9,5.2,1996-02-29
1996,3,23,4:47:32,12.6248,92.3907,26,4,1996-03-23
1996,4,12,22:46:10,12.0779,93.4238,93,3.9,1996-04-12
1996,6,10,13:45:10,12.12,92.98,58.5,3.4,1996-06-10
1996,6,22,1:57:11,11.9089,93.5247,93,3.8,1996-06-22
1996,9,23,3:05:41,10.7784,93.4233,100,4,1996-09-23
1996,11,2,18:50:46,11.73,92.46,0,3.5,1996-11-02
1996,11,9,4:12:04,10.3505,92.8975,53,4.3,1996-11-09
1996,11,20,19:12:29,11.5281,92.8639,46,4.3,1996-11-20
1996,12,3,7:21:08,12.123,92.8109,41,3.9,1996-12-03
1996,12,5,20:29:46,11.7446,92.7924,41,4.6,1996-12-05
1996,12,27,10:23:49,11.8293,92.3207,23,4.1,1996-12-27
1996,12,29,21:52:11,11.6447,93.4771,35,4.2,1996-12-29
1997,1,2,10:52:38,10.61,92.8281,43.1,5,1997-01-02
1997,1,5,9:03:51,11.769,93.5393,93,3.9,1997-01-05
1997,1,18,19:45:22,12.1826,93.5785,29.9,4.4,1997-01-18
1997,1,28,4:19:36,10.4576,92.7038,53,4.3,1997-01-28
1997,2,16,16:45:13,10.4137,93.4128,100,4.2,1997-02-16
1997,3,24,10:47:42,10.6126,92.6836,29,4,1997-03-24
1997,5,6,22:18:02,12.3665,93.3282,88.4,4.6,1997-05-06
1997,10,14,14:06:51,12.4832,93.5474,93,4,1997-10-14
1997,10,17,2:43:59,11.0249,92.4193,26,3.9,1997-10-17
1997,10,25,18:40:18,10.9045,92.4068,21.9,4.6,1997-10-25
1997,10,30,6:30:28,11.6221,92.9514,42.9,4.9,1997-10-30
1997,11,1,13:42:09,13.1736,93.5773,58,3.9,1997-11-01
1997,11,17,0:37:54,11.0182,92.4797,26,3.8,1997-11-17
1997,12,31,0:00:55,11.0787,92.3531,22.1,4.2,1997-12-31
1998,1,14,16:23:28,10.3482,93.0304,53,3.7,1998-01-14
1998,1,17,16:03:23,11.7356,92.6433,23,3.8,1998-01-17
1998,1,18,1:41:35,10.4451,93.0503,0,3.5,1998-01-18
1998,1,21,19:17:01,10.3288,92.7794,53,4.1,1998-01-21
1998,2,1,2:45:09,11.8621,93.3051,93,4.4,1998-02-01
1998,2,7,2:22:09,12.2715,93.5678,93,4.2,1998-02-07
1998,3,6,19:44:34,13.3162,93.3365,0,3.3,1998-03-06
1998,3,29,1:48:43,12.6819,92.9624,41,3.9,1998-03-29
1998,4,11,12:31:06,13.2041,92.8992,16.2,4.5,1998-04-11
1998,5,11,20:02:51,11.1437,92.574,26,3.8,1998-05-11
1998,5,15,8:52:12,11.0293,92.5013,35,4.3,1998-05-15
1998,8,30,11:03:56,11.6472,92.7197,26,3.8,1998-08-30
1998,11,6,20:29:26,11.0674,92.444,30.7,4.9,1998-11-06
1998,11,6,20:45:47,11.0916,92.4634,27.9,4.6,1998-11-06
