year,month,date,Time,latitude,longitude,depth,magnitude,DATE
1980,1,7,12:45:21,33.128,76.0491,28,4.7,1980-01-07
1980,1,8,21:58:07,36.7218,78.6252,35,4.6,1980-01-08
1980,2,13,22:09:34,36.3867,76.8273,92.9,6.1,1980-02-13
1980,2,14,3:49:36,36.3603,76.9476,83.7,4.9,1980-02-14
1980,3,29,2:02:57,32.7528,73.9396,35,4.8,1980-03-29
1980,5,1,5:39:05,33.0178,76.0172,28,4.6,1980-05-01
1980,5,1,5:43:13,32.9729,75.8878,26.3,4.9,1980-05-01
1980,5,1,20:37:45,35.8824,73.5138,10,4.5,1980-05-01
1980,8,11,7:33:21,35.58,77.4861,64.3,5,1980-08-11
1980,8,23,21:36:51,32.9862,75.7705,12.4,5.2,1980-08-23
1980,8,23,21:50:02,32.9156,75.7221,16.4,5.2,1980-08-23
1980,9,22,20:37:50,32.5957,78.7176,13,4.7,1980-09-22
1980,10,5,10:47:20,34.7054,74.2756,35,4.2,1980-10-05
1980,10,8,6:57:02,35.1279,76.9911,19.5,5.1,1980-10-08
1980,10,8,7:14:43,35.0673,77.1979,34,4.7,1980-10-08
1980,10,8,8:04:05,35.4185,76.98,10,3.8,1980-10-08
1981,1,26,10:11:57,35.2298,77.8693,35,4.6,1981-01-26
1981,3,12,2:15:49,34.7844,77.6093,21,4.4,1981-03-12
1981,4,5,0:01:24,36.6605,73.4507,35,3.9,1981-04-05
1981,5,28,23:14:09,31.8146,78.4748,17.7,5.3,1981-05-28
1981,6,13,0:56:57,31.8466,78.4741,21.7,5.1,1981-06-13
1981,6,23,19:54:03,34.0732,74.5568,35,4.8,1981-06-23
1981,7,12,8:45:38,32.7376,76.1353,10,4.7,1981-07-12
1981,7,24,3:43:27,36.4107,76.1717,10,4.8,1981-07-24
1981,8,17,9:11:20,33.3732,75.5135,29.4,4.9,1981-08-17
1981,8,31,12:31:46,34.566,79.0427,35,4.8,1981-08-31
1981,9,12,7:15:53,35.6793,73.681,13,6.2,1981-09-12
1981,9,12,8:01:41,36.0019,73.3208,48,4.1,1981-09-12
1981,9,12,8:11:56,35.5897,73.5737,37,4.4,1981-09-12
1981,9,12,10:32:31,35.8954,73.6716,48,4.3,1981-09-12
1981,9,12,12:17:21,36.0306,73.3131,48,4.3,1981-09-12
1981,9,12,12:33:37,35.7743,73.6047,10,4.4,1981-09-12
1981,9,12,15:25:22,35.8769,73.6894,48,4,1981-09-12
1981,9,12,17:38:49,35.7976,73.6606,10,4.9,1981-09-12
1981,9,13,4:31:44,35.6586,73.6466,10,4.5,1981-09-13
1981,9,13,6:00:26,35.8168,73.7788,10,4.7,1981-09-13
1981,9,15,3:31:55,34.8039,77.5732,3,4.7,1981-09-15
1981,9,15,9:18:26,35.7351,73.8672,35,4.3,1981-09-15
1981,9,16,7:10:27,35.6559,73.8513,37,4.5,1981-09-16
1981,9,16,13:30:29,35.9451,73.4552,48,4.3,1981-09-16
1981,9,18,17:05:00,35.6089,73.6158,32.6,5.1,1981-09-18
1981,9,20,3:56:08,35.5889,73.7747,37,3.9,1981-09-20
1981,9,20,9:13:53,35.8072,73.6906,48,4.2,1981-09-20
1981,9,27,11:10:43,33.2285,75.5475,22,4.7,1981-09-27
1981,10,8,14:30:50,35.8116,73.7759,35,4.2,1981-10-08
1981,11,9,9:37:24,35.5917,73.6684,37,5,1981-11-09
1981,11,9,19:31:03,33.2563,75.7641,26,4.6,1981-11-09
1981,11,10,10:46:15,35.7159,73.6526,28,4.7,1981-11-10
1981,12,5,1:42:26,35.4827,73.5393,37,4.5,1981-12-05
1981,12,14,18:25:40,33.2293,75.6961,16,4.5,1981-12-14
1982,1,22,12:58:16,35.7429,73.7954,35,4.2,1982-01-22
1982,2,22,17:59:57,35.535,73.8004,21.1,5.4,1982-02-22
1982,4,3,22:39:25,33.3287,73.3295,16,4.2,1982-04-03
1982,4,28,6:23:42,35.7694,73.3605,48,4,1982-04-28
1982,5,7,7:44:16,32.6285,76.0606,20,4.9,1982-05-07
1982,5,15,10:56:16,35.577,73.5504,37,4.3,1982-05-15
1982,6,28,19:27:02,36.1368,79.4774,35,4.8,1982-06-28
1982,7,9,8:01:17,36.2946,76.7871,12.2,5.3,1982-07-09
1982,7,28,7:07:55,35.8632,79.2033,35,4.5,1982-07-28
1982,8,12,18:51:27,35.6492,73.5308,37,4.8,1982-08-12
1982,9,4,12:33:54,32.7185,76.3645,20,4.6,1982-09-04
1982,10,25,8:16:23,34.3592,73.8192,22,4.6,1982-10-25
1983,1,14,18:22:43,36.263,76.2407,86,4.3,1983-01-14
1983,2,25,8:37:10,35.7388,77.7937,32,4.9,1983-02-25
1983,2,27,20:33:04,32.6128,78.5201,9.4,5.4,1983-02-27
1983,5,30,8:39:48,32.7554,75.3722,10,4.7,1983-05-30
1983,5,31,21:05:42,34.5753,79.5949,12.3,5.1,1983-05-31
1983,8,9,0:06:01,35.525,75.0689,25,4.1,1983-08-09
1983,8,9,2:59:33,35.4947,74.9372,10,4.4,1983-08-09
1983,8,11,8:06:21,35.8244,73.7758,35,4.7,1983-08-11
1983,10,12,2:44:44,33.6895,75.6286,35,4.6,1983-10-12
1984,1,8,1:53:14,32.3107,79.7083,35,4.2,1984-01-08
1984,3,14,15:32:33,34.1559,79.4775,14.3,5.1,1984-03-14
1984,4,11,8:15:29,34.7384,79.6238,24.1,4.8,1984-04-11
1984,5,18,9:59:43,36.4963,79.2532,14.7,4.8,1984-05-18
1984,5,23,3:14:19,33.1567,75.9425,16.3,4.9,1984-05-23
1984,6,19,19:04:34,36.6083,76.324,100,4.3,1984-06-19
1984,7,29,17:18:06,35.8435,74.5022,10,4.9,1984-07-29
1984,8,15,5:31:02,34.8505,74.4261,14.5,4.6,1984-08-15
